Districts,IPC Cases,SLL Cases,Total
Bagalkot,2199,735,2934
Bengaluru City,28666,17521,46187
Bengaluru District,6031,961,6992
Belagavi District,4703,1324,6027
Ballari,1792,1434,3226
Bidar,3136,886,4022
Vijayapura,2858,1438,4296
Chikkaballapura,2577,1743,4320
Chamarajnagar,1705,668,2373
Chikkamagaluru,2759,1096,3855
Chitradurga,4057,1264,5321
Dakshina Kannada,1812,266,2078
Davanagere,3396,995,4391
Dharwad,1193,536,1729
Gadag,1060,856,1916
Kalaburgi,2462,850,3312
Hassan,4652,1189,5841
Haveri,2409,767,3176
Hubballi Dharwad,2006,1139,3145
K.G.F.,855,370,1225
Kodagu,1355,284,1639
Kolar,2417,360,2777
Koppal,2175,893,3068
Mandya,4830,781,5611
Mangaluru City,1979,686,2665
Mysuru City,2658,647,3305
Mysuru District,4315,1088,5403
Raichur,2577,1348,3925
K.Railways,1296,57,1353
Ramanagara,4155,1720,5875
Shimoga,4591,1500,6091
Tumakuru,5520,1524,7044
Udupi,2342,566,2908
Uttara Kannada,2323,1202,3525
Yadgiri,1316,508,1824
Belagavi City,1721,406,2127
Kalaburgi City,1768,582,2350
Vijayanagara,1795,1091,2886
Total Districts,129461,51281,180742
